seconds,average_delta,std_error,maximum
<<<<<<< HEAD
30,383.00,0.00,383
60,383.00,0.00,383
90,383.00,0.00,383
120,383.00,0.00,383
150,383.00,0.00,383
180,383.00,0.00,383
210,383.00,0.00,383
240,383.00,0.00,383
270,383.00,0.00,383
300,383.00,0.00,383
330,383.00,0.00,383
360,383.00,0.00,383
390,383.00,0.00,383
420,383.00,0.00,383
450,383.00,0.00,383
480,383.00,0.00,383
510,383.00,0.00,383
540,383.00,0.00,383
570,383.00,0.00,383
600,383.00,0.00,383
630,383.00,0.00,383
660,383.00,0.00,383
690,383.00,0.00,383
720,383.00,0.00,383
750,383.00,0.00,383
780,383.00,0.00,383
810,383.00,0.00,383
840,383.00,0.00,383
870,383.00,0.00,383
900,383.00,0.00,383
930,383.00,0.00,383
960,383.00,0.00,383
990,383.00,0.00,383
1020,383.00,0.00,383
1050,383.00,0.00,383
1080,383.00,0.00,383
1110,383.00,0.00,383
1140,383.00,0.00,383
1170,383.00,0.00,383
1200,383.00,0.00,383
1230,383.00,0.00,383
1260,383.00,0.00,383
1290,383.00,0.00,383
1320,383.00,0.00,383
1350,383.00,0.00,383
1380,383.00,0.00,383
1410,383.00,0.00,383
1440,383.00,0.00,383
1470,383.00,0.00,383
1500,383.00,0.00,383
1530,383.00,0.00,383
1560,383.00,0.00,383
1590,383.00,0.00,383
1620,383.00,0.00,383
1650,383.00,0.00,383
1680,383.00,0.00,383
1710,383.00,0.00,383
1740,383.00,0.00,383
1770,383.00,0.00,383

1800,383.00,0.00,383

time delta>0:
4.00 (+/- 0.75)
[2, 6, 5, 2, 5]
=======
30,125.80,0.33,127
60,126.60,0.36,128
90,126.80,0.33,128
120,126.80,0.33,128
150,127.00,0.28,128
180,127.00,0.28,128
210,127.00,0.28,128
240,127.00,0.28,128
270,127.20,0.33,128
300,127.20,0.33,128
330,127.20,0.33,128
360,127.20,0.33,128
390,127.20,0.33,128
420,127.20,0.33,128
450,127.40,0.36,128
480,127.40,0.36,128
510,127.60,0.22,128
540,127.60,0.22,128
570,127.60,0.22,128
600,127.60,0.22,128
630,127.60,0.22,128
660,127.60,0.22,128
690,127.60,0.22,128
720,127.80,0.18,128
750,127.80,0.18,128
780,127.80,0.18,128
810,127.80,0.18,128
840,127.80,0.18,128
870,127.80,0.18,128
900,127.80,0.18,128
930,127.80,0.18,128
960,127.80,0.18,128
990,127.80,0.18,128
1020,127.80,0.18,128
1050,127.80,0.18,128
1080,128.00,0.00,128
1110,128.00,0.00,128
1140,128.00,0.00,128
1170,128.00,0.00,128
1200,128.00,0.00,128
1230,128.00,0.00,128
1260,128.00,0.00,128
1290,128.00,0.00,128
1320,128.00,0.00,128
1350,128.00,0.00,128
1380,128.00,0.00,128
1410,128.00,0.00,128
1440,128.00,0.00,128
1470,128.00,0.00,128
1500,128.00,0.00,128
1530,128.00,0.00,128
1560,128.00,0.00,128
1590,128.00,0.00,128
1620,128.00,0.00,128
1650,128.00,0.00,128
1680,128.00,0.00,128
1710,128.00,0.00,128
1740,128.00,0.00,128
1770,128.00,0.00,128

1800,128.00,0.00,128

time delta>0:
4.20 (+/- 0.72)
[5, 5, 1, 5, 5]
>>>>>>> 5d4081c210db6d6cb886ee530214c427f340a80f
